keywords,id,year,_title,_material,_dimension,_inscription,_provenance
"royal portrait, male portrait, painting",PA-F00897-0019,1984,Henry VIII,,,,Westminster School
"royal portrait, female portrait, painting",PA-F00902-0037,1974,Lady Julia Devalera,Panel,c. 1.625 x 0.762 (64 x 30 inches),Dated upper left: Anno Domini / 1578-,"Sir Thomas Stanley, Bart. , Of Hooton; Purchased by Sir Thomas Frost, 1883 (when Lo Mayor) & presented by him to the City of Chester Town Hall, Chester."
"male portrait, painting",PA-F00902-0063,1978,John Cosin (1594–1672) Bishop Of Durham (1660–72),,1.00 x 0.80 (39 1/4 x 31 1/2 inches),,"Gonville & Caius College, Cambridge"
"royal portrait, male portrait, painting",PA-F00902-0109,1984,"Arthur, Earl Of Donegal",,,,Private Collection
"royal portrait, male portrait, painting",PA-F00840-0011,1985,The Old Pretender James Prince Of Wales (1688–1766),,,,
"royal portrait, male portrait, painting",PA-F00903-0033,1974,"Heneage Finch, Speaker Of The House Of Commons 4th Son Of Sir Moyle Finch, (Died 1631)",,,,
"male portrait, painting",PA-F00903-0043,1970,Henry Fox (D1719),,0.762 x 0.635 (30x25 inches),"Inscribed: lower right Henry Fox esqr. ; Replica, Inscribed ""Henry Fox"", formerly at Rushmore.","Colonel Lane-Fox, Bramham Park"
"royal portrait, male portrait, painting",PA-F00903-0053,1970,Called mr Freke,,,,General Pitt Rivers (1827–1900)
"royal portrait, male portrait, painting",PA-F00903-0061,1972,"Sir Philip Gell, 3rd Bart Of Hopton (1651–1719)",,1.423 x 1.093;(56 x 43 inches),,"Lt. Col. John Chandos-Pole, Newnham Hall, Daventry."
"male portrait, painting",PA-F00903-0139,1973,Rev Cahope (1827–1898),Wood,0.394 x 0.293 (15 1/2 x 11 1/2 inches),,
"male portrait, painting",PA-F00903-0149,1978,John Howson (ca.1557–1632) Bishop Of Oxford(1618–28) And Durham (1628–32),Panel,0.78 x 0.62 (30 3/4 x 24 3/4 inches),,"Christ Church, Oxford."
"male portrait, painting",PA-F00904-0013,1976,Charles Killigrew (D1756),,0.762 x 0.609 ( 30 x 24 inches ),,"Mr and Mrs John Henniker-Major, London."
"male portrait, painting",PA-F00904-0049,1978,John Legon (1550–1618) Bishop Of Norwich (1603–18),Panel,0.57 x 0.39 (22 1/2 x 15 3/8),Inser. Aetatis: 50/1601,"Corpus Christi College, Cambridge"
"male portrait, painting",PA-F00904-0061,1985,Sir Nicholas Le Strange (1632–1669) 3rd Bart,,29 1/2 x 28 in,,Private Collection
"male portrait, painting",PA-F00905-0039,1973,"Sir Thomas Aubrey, Kt (1563–1637)",,1.143 x 1.016; (45 x40 inches),Inscribed upper left: aetatis Suae. 74/Ann 1637,"Sir John Aubrey-Fletcher, Bart. Chilton Gate House, Chilton, Bucks."
"male portrait, painting",PA-F00905-0085,1972,Henry Barker Of Chiswick,,,Inscribed upper left: Anno 1615/aetatis 79,"The National Trust, The Vyne. (Sir Charles Chute, 1956)"
"male portrait, painting",PA-F00905-0133,1984,ALEXANDER NOWELL,,,,Westminster School
"royal portrait, male portrait, painting",PA-F00906-0009,1984,10th Viscount Massareene,,,,Private Collection
"male portrait, painting",PA-F00906-0051,1984,Dr John Nicoll,,,,Westminster School
"male portrait, painting",PA-F00906-0101,1978,Sir William Petre,Panel,0.495 x 0.370 (19 1/2 x 14 1/2 inches),,"Warden's Lodgings, New College, Oxford."
"royal portrait, male portrait, painting",PA-F00906-0157,1977,"Andrew, 5th Earl Of Rothes (D1611)","Oil on board, oval",0.770 x 0.610 (30 5/16 x 24 inches),,Private Collection
"male portrait, painting",PA-F00907-0039,1977,Ludovic Slabaert,Panel,0.470 x 0.342 (18 1/2 x 13 1/2 inches),,Private Collection
"male portrait, painting",PA-F00907-0043,1972,Christopher Smith (D 1835) Lord Mayor Of London 1818,,1.244 x 1.160 (49 x 40 inches),,By descent to the present owner; Private Collecton.
"male portrait, painting",PA-F00907-0051,1970,Edward Southwell (1705–1755),,,,From Kings Weston House; Bristol Corporation
"royal portrait, male portrait, painting",PA-F00907-0059,1985,Sir William Spring 1st Bart (1613–1645),,,,Private Collection
"royal portrait, female portrait, painting",PA-F00899-0027,1984,QUEEN ELIZABETH I,,,,Westminster School
"royal portrait, male portrait, painting",PA-F00902-0005,1974,Richard 12th Lord Cahir Created Earl Of Glengall 1811,,,,"Private collection, U. K."
"royal portrait, male portrait, painting",PA-F00902-0035,1974,"Richard Lupus, 3rd Earl Of Chester (D1120)",Panel,c. 1.625 x 0.762 (64 x 30 inches),Dated upper right: Anno Domini / 1578-,"Sir Thomas Stanley, Bart. , Of Hooton; Purchased by Sir Thomas Frost, 1883 (when Lo Mayor) & presented by him to the City of Chester Town Hall, Chester."
"royal portrait, male portrait, painting",PA-F00902-0071,1985,"Thomas, Lord Crewe Of Stene (2nd Baron) (1624–1697)",,,,Private Collection
"male portrait, painting",PA-F00902-0089,1978,John Davenant (1572–1641) Bishop Of Salisbury (1621–41),Panel,0.51 x 0.9(20 x 15 3/8 inches),Inser. Aet 69/A. Dated1640; engr. By T. Trotter 1783 and Garner 1837,"Queen's College, Cambridge"
"male portrait, painting",PA-F00902-0105,1978,Warden Dobson,,0.750 x 0.620 (29 1/4 x 24 1/2 inches),,"Warden's Lodgings, New College, Oxford"
"male portrait, painting",PA-F00903-0029,1974,Called William Fanshawe D1708; Master Of Requests To Charles II,,0.762 x 0.635 (30 1/2 x 25 1/2 inches),,"Private collection, Essex."
"royal portrait, male portrait, painting",PA-F00903-0035,1974,"Sir Thomas Finch, Knight Marshall",,,,"Private collection, U. K."
"male portrait, painting",PA-F00903-0045,1970,James Fox (Fox Lane) (1756– 1821),,2.438x 1.524 (90x60 inches),Wrongly ascribed to B. West,"Colonel Lane-Fox, Bramham Park"
"male portrait, painting",PA-F00903-0051,1984,Robert Friend (1667–1751),,,,Westminster School
"male portrait, painting",PA-F00903-0155,1972,"Richard Incledon, Recorder Of Barnstaple, 1758–1796",,,,"The Guildhall, Barnstaple"
"male portrait, painting",PA-F00904-0007,1976,John Jewel (1522–71) Bishop Of Salisbury,Panel,0.240 x 0.165 (9 1/2 x 6 1/2 inches),,Corpus Christi Oxford
"male portrait, painting",PA-F00904-0063,1985,"Roger Le Strange, 5th Son Of Sir Thomas, Born 1531",,16 x 11 1/2in,Inscribed AN: DM 1566 Aetatis 35,Private Collection
"male portrait, painting, royal portrait",PA-F00904-0069,1980,Fieldmarshal 1st Viscount Ligonier,,,,"Private Collection, Norfolk"
"male portrait, painting",PA-F00904-0071,1978,Samuel Lisle(ca. 1683–1749) Bishop Of St Asaph(1744–8) And Norwich(1748–9),,0.76 x 0.63(30 x 24 3/4 inches),,"Wadham College, Oxford"
"male portrait, drawing, painting",PA-F00905-0029,1984,Mr Arnold,Pen and watercolour,0.215 x 0.170 (84 3/4 x 67 inches),,Private Collection
"royal portrait, male portrait, painting",PA-F00905-0037,1985,Sir Edward Astley (1729–1802) 4th Bart,,,,Private Collection
"royal portrait, male portrait, painting",PA-F00905-0043,1974,Earl Of Aylesford,,,Inscribed and dated 1678 upper right corner,"Private collection, U. K."
"male portrait, painting",PA-F00905-0069,1972,"Bencraft, Town Clerk Of Barnstaple 1843 – 1883, Mayor 1883",,0.889 x 0.508 (35 x 20 inches),,"The Guildhall, Barnstaple."
"royal portrait, male portrait, painting, group portrait, historical event",PA-F00901-0013,1988,Edward VI Granting The Charter To The School,,,,"King Edward School Witley, Surrey"
"male portrait, painting",PA-F00902-0009,1985,James Calthorpe (1604–1652),,,,Private Collection
"royal portrait, male portrait, painting",PA-F00902-0041,1974,"Hugh Cyvelioc, 6th Earl Of Chester (D 1187)",Panel,c. 1.625 x 0.762 (64 x 30 inches),Dated upper left anno Domini / 1578-,"Sir Thomas Stanley, Bart. , Of Hooton; Purchased by Sir Thomas Frost, 1883 (when Lo Mayor) & presented by him to the City of Chester Town Hall, Chester."
"royal portrait, male portrait, painting",PA-F00902-0043,1974,"Randle Blundeville, 7th Earl Of Chester (D 1232)",Panel,c. 1.625 x 0.762 (64 x 30 inches),Dated upper left: Anno Domini / 1578-,"Sir Thomas Stanley, Bart. , Of Hooton; Purchased by Sir Thomas Frost, 1883 (when Lo Mayor) & presented by him to the City of Chester, Town Hall, Chester."
"male portrait, painting",PA-F00902-0061,1978,John Conybeare (1692–1755) Bishop Of Bristol (1750–55),,0.76 x 0.63 (30 x 24 3/4 inches),,"Exeter College, Oxford (after 1810)"
"royal portrait, male portrait, painting",PA-F00903-0023,1974,"Thomas, 2nd Viscount Fanshawe (1632–1674)",,,,"Private collection, Essex."
"male portrait, painting",PA-F00903-0057,1989,"John Frewen, Rector Of Northiam",,1.05 x 0.819 (41 1/2 x 32 1/4 inches),,"Brickwall House School, E. Sussex."
"male portrait, painting",PA-F00903-0093,1974,Posthumous Portrait Of John Griffith Of Cefnamwlch,,0.762 x 0.635 (30 x 25 inches),,"Col. J. C. Wynne Finch, Voelas, nr. Bettws-y-Coed; Private collection, U. K."
"royal portrait, male portrait, painting",PA-F00903-0141,1973,"Sir Thomas Hope, 4th Bt",,1.130 x 0.876 (44 1/2 x 34 1/2 inches),,"Sir Archibald Hope, bought , Upton Grey Lodge, Basingstoke."
"male portrait, painting",PA-F00904-0011,1972,"Hon Frederick Keppel, Bishop Of Exeter (1729–1777), Bishop Of Exeter (1762–1777)",,0.762 x 0.635 ( 30 x 25 inches ),,"Bishop's Palace, Exeter."
"male portrait, painting",PA-F00904-0017,1976,"Henry King (1592–1669), Dean Of Canterbury",,1.192 x 0.965 (47 x 38 inches),,"Christ Church, Oxford"
"royal portrait, female portrait, painting",PA-F00899-0025,1984,Queen Elizabeth I,,,,Westminster School
"royal portrait, male portrait, painting",PA-F00902-0033,1974,"Hugh Of Avranches, Called Hugh Lupus (D 1101) 2nd Earl Of Chester",Panel,c. 1.625 x 0.762 (64 x 30 inches),Dated upper right: Anno Domini / 1578-,"Sir Thomas Stanley, Bart. , Of Hooton; Purchased by Sir Thomas frost, 1883 (when Lo Mayor) & presented by him to the City of Chester Town Hall, Chester."
"royal portrait, male portrait, painting",PA-F00902-0039,1974,"Randle Gernouns, 5th Earl Of Chester, (D 1153)",Panel,c. 1.625 x 0.762 (64 x 30 inches),Dated upper left: Anno Domini / 1578-,"Sir Thomas Stanley, Bart. , Of Hooton; Purchased by Sir Thomas Frost, 1883 (when Lo Mayor) & presented by him to the City of Chester Town Hall, Chester."
"royal portrait, male portrait, painting",PA-F00902-0045,1974,"John The Scot, 8th Earl Of Chester (D 1237)",Panel,c. 1.420 x 0.610 (56 x 24 inches),Dated upper right: Anno Domini / 1578-,"Sir Thomas Stanley, Bart. , Of Hooton; Purchased by Sir Thomas Frost, 1883 (when Lo Mayor) & presented by him to the City of Chester Town Hall, Chester."
"male portrait, painting",PA-F00902-0055,1985,Sir Edward Coke (1550–1634),,,,Private Collection
"royal portrait, male portrait, painting",PA-F00902-0059,1984,,,,,Westminster School
"male portrait, painting",PA-F00902-0107,1984,John Dolben (1624–1686),,,,Westminster School
"royal portrait, male portrait, painting",PA-F00902-0123,1974,Sir William Drury (1550-1589),,"93 3/4 x 61 1/2; 2,380 x 1,560mm",,Agnew's; Paul Mellon (1907–1999)
"male portrait, painting",PA-F00903-0041,1978,Dr Thomas Fowkes,,0.738 x 0.610 (29 x 24 inches),,"Warden's Lodgings, New College, Oxford"
"male portrait, painting",PA-F00903-0047,1979,"Sir Henry Frankland, Eldest Son Of William Frankland Of Thirkleby",,1.07 x 0.825 (42 x 32 1/2 inches),Bears inscription,"Anonymous sale, Phillips, 9 July 1979 (103)"
"male portrait, painting",PA-F00903-0055,1989,"Sir Edward Frewen, Knight",,0.737 x 0.61 (29 x 24 inches),,"Brickwall House School, East Sussex"
"male portrait, painting, royal portrait",PA-F00903-0097,1977,"(Probably) Thomas, 6th Earl Haddington (1680–1735)",Watercolour,0.038 ( 1 1/2 in high),,Private Collection
"male portrait, painting",PA-F00903-0119,1978,"Joseph Henshawe(1603–1679), Bishop Of Peterborough (1663–79)",,0.76 x 0.63(30 x 24 3/4 inches),,family descent; sold 1969 to; Peterborough Museum & Art Gallery
"male portrait, painting",PA-F00904-0025,1984,Thomas Knipe,,,,Westminster School
"male portrait, painting",PA-F00904-0047,1966,Stewart Lee,,,,N. E. Sweyers
"male portrait, painting",PA-F00904-0057,1985,Sir Nicholas Le Strange (1562–89),Panel,17 x 13in,,Private Collection
"male portrait, painting",PA-F00904-0077,1964,"Lt Gen Sir Thomas Graham, Lord Lynedoch",,,,Brinsley Ford (1908–1999)
